                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3615,                 2.4191,                  1.281,                0.69431,                0.65489,                0.71186,                0.42139,                 1.2865,                 2.0889,                 1.2323,             0.00047475,             0.00047475,             0.00047475
                      2,                 1.3274,                 1.4413,                 1.2692,                0.84072,                0.78499,                0.86321,                0.51614,                 1.3273,                 1.2127,                 1.3019,             0.00094167,             0.00094167,             0.00094167
                      3,                 1.3318,                 1.1614,                 1.2761,                0.86965,                0.77799,                0.89086,                  0.567,                 1.2476,                 1.1426,                 1.2708,              0.0013992,              0.0013992,              0.0013992
                      4,                 1.3066,                 1.0518,                 1.2587,                0.90189,                0.81373,                0.90524,                0.57655,                 1.2182,                 1.0504,                 1.2276,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2735,                0.95512,                 1.2385,                0.91249,                0.84345,                0.92056,                0.62277,                  1.153,                0.74338,                 1.1903,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2343,                0.88582,                 1.2171,                0.92316,                0.87875,                0.93445,                0.62864,                 1.1662,                0.72653,                  1.185,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2367,                0.87938,                 1.2145,                0.91358,                0.85738,                0.92671,                0.60568,                  1.178,                0.74586,                 1.1832,              0.0013441,              0.0013441,              0.0013441
                      8,                  1.203,                0.81828,                 1.1948,                0.93896,                0.87976,                0.93711,                0.63556,                 1.1438,                0.66018,                 1.1701,                0.00133,                0.00133,                0.00133
                      9,                 1.1749,                0.78518,                 1.1837,                0.94235,                 0.9063,                0.95665,                0.65378,                 1.1088,                0.59799,                 1.1584,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1734,                0.77225,                  1.183,                0.95566,                0.88896,                0.95623,                0.66718,                 1.0907,                0.58692,                 1.1524,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1578,                0.74106,                 1.1732,                0.96154,                0.90225,                0.96441,                0.66953,                 1.1201,                0.58395,                 1.1518,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1571,                 0.7371,                 1.1742,                0.94693,                0.91327,                0.95748,                0.67704,                 1.0425,                0.56044,                  1.117,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1435,                0.72478,                 1.1646,                0.95729,                0.91248,                0.96734,                0.67771,                 1.0791,                0.53586,                 1.1398,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.1251,                0.70772,                 1.1539,                0.96669,                0.93247,                0.97198,                0.68643,                 1.0615,                0.50685,                 1.1233,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.1164,                0.68625,                 1.1496,                0.95699,                0.92204,                0.96867,                0.68035,                 1.0652,                0.54023,                 1.1244,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1153,                0.68861,                 1.1467,                 0.9554,                 0.9142,                0.97075,                0.69245,                 1.0451,                0.50864,                 1.1188,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.1063,                0.67338,                 1.1454,                0.96086,                0.92187,                0.96991,                0.68095,                 1.0514,                0.51519,                 1.1289,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.0959,                0.65472,                 1.1438,                0.95793,                0.92096,                0.96981,                0.69818,                 1.0403,                0.49234,                 1.1108,              0.0011885,              0.0011885,              0.0011885
                     19,                  1.092,                0.65999,                 1.1335,                0.95951,                0.93015,                0.96962,                 0.6912,                 1.0395,                0.50606,                 1.1071,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.0784,                0.64228,                 1.1287,                0.96517,                 0.9333,                0.97834,                0.69329,                 1.0512,                0.47796,                 1.1235,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.0803,                0.63216,                 1.1303,                0.96742,                0.91874,                0.97461,                0.70371,                 1.0288,                0.48319,                 1.1014,              0.0011461,              0.0011461,              0.0011461
