                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81285,                 3.6549,                 1.0133,                0.00919,                      1,                0.36312,                 0.3364,                0.44329,                  3.668,                0.81271,             0.00019159,             0.00019159,             0.00019159
                      2,                0.79226,                 2.6257,                0.98632,                0.46249,                0.37118,                0.56925,                0.51245,                0.52233,                 3.2491,                 0.8227,             0.00038763,             0.00038763,             0.00038763
                      3,                 0.8086,                  2.198,                0.98515,                0.70975,                    0.5,                0.69842,                0.59501,                0.71752,                 2.6783,                0.87637,             0.00057972,             0.00057972,             0.00057972
                      4,                0.79134,                 1.8511,                 0.9677,                0.66881,                0.89777,                0.85385,                0.72814,                0.65841,                 2.0855,                0.87383,             0.00076785,             0.00076785,             0.00076785
                      5,                0.85505,                 1.7277,                0.99411,                0.72174,                0.85092,                0.93281,                0.76485,                0.76604,                 2.0259,                0.90452,             0.00080001,             0.00080001,             0.00080001
                      6,                0.84701,                  1.537,                0.98411,                0.79727,                0.82472,                0.93281,                0.78349,                0.73511,                 1.7294,                0.90693,             0.00079177,             0.00079177,             0.00079177
                      7,                0.80282,                 1.4058,                0.96502,                0.80044,                  0.875,                  0.995,                0.85506,                0.62918,                 1.3969,                0.85884,             0.00078352,             0.00078352,             0.00078352
                      8,                 0.7488,                 1.3464,                0.95159,                0.88649,                0.80092,                0.93281,                0.83014,                0.56662,                 1.4408,                0.84288,             0.00077527,             0.00077527,             0.00077527
                      9,                0.76431,                 1.3268,                0.96358,                 0.7944,                0.82512,                0.91208,                0.80834,                0.60042,                 1.7212,                0.85967,             0.00076703,             0.00076703,             0.00076703
                     10,                0.75983,                 1.2435,                0.94374,                0.84745,                0.84471,                  0.995,                0.89542,                0.58136,                 1.2852,                0.84196,             0.00075878,             0.00075878,             0.00075878
                     11,                0.70631,                 1.1164,                0.93357,                0.64803,                      1,                  0.995,                0.89229,                0.53352,                 1.2336,                 0.8319,             0.00075053,             0.00075053,             0.00075053
                     12,                0.72274,                 1.0517,                0.92804,                0.89334,                 0.8618,                0.95354,                0.83634,                0.59109,                 1.1266,                0.85824,             0.00074229,             0.00074229,             0.00074229
                     13,                0.74097,                 1.0667,                0.94465,                0.83025,                 0.8717,                0.97417,                0.91399,                0.50299,                 1.1336,                0.83464,             0.00073404,             0.00073404,             0.00073404
                     14,                0.70389,                0.98282,                0.93446,                0.86861,                  0.875,                0.89135,                0.82286,                0.51808,                 1.1801,                0.84334,             0.00072579,             0.00072579,             0.00072579
                     15,                0.73136,                0.99974,                0.94917,                0.90695,                0.86887,                0.95354,                0.84256,                0.54134,                 1.0168,                  0.861,             0.00071755,             0.00071755,             0.00071755
                     16,                0.68475,                0.96337,                0.92617,                0.93989,                 0.8394,                  0.995,                0.92037,                0.47737,                0.88914,                0.83729,              0.0007093,              0.0007093,              0.0007093
                     17,                0.72107,                0.92909,                0.94566,                0.81441,                      1,                0.95354,                0.87268,                0.45351,                0.91351,                0.84207,             0.00070105,             0.00070105,             0.00070105
                     18,                0.67119,                0.87654,                0.91377,                0.89941,                0.85761,                0.89125,                0.83317,                0.51628,                0.97889,                0.85708,             0.00069281,             0.00069281,             0.00069281
                     19,                0.67079,                0.89178,                0.93139,                0.91945,                0.82801,                  0.995,                0.87994,                0.52858,                0.89675,                 0.8518,             0.00068456,             0.00068456,             0.00068456
                     20,                 0.6753,                0.86912,                0.91575,                0.92569,                  0.875,                0.97417,                0.89759,                0.46222,                0.93414,                0.84116,             0.00067631,             0.00067631,             0.00067631
                     21,                0.67515,                0.86544,                0.91359,                 0.9019,                  0.875,                  0.995,                0.93283,                0.45596,                0.92575,                0.83153,             0.00066807,             0.00066807,             0.00066807
                     22,                0.64932,                0.79299,                0.91569,                0.89735,                  0.875,                0.91198,                 0.8334,                0.54538,                0.99352,                0.85758,             0.00065982,             0.00065982,             0.00065982
                     23,                0.63025,                0.79295,                0.91318,                0.60964,                      1,                  0.995,                0.89289,                0.51017,                0.83449,                0.85978,             0.00065157,             0.00065157,             0.00065157
                     24,                0.67225,                0.77881,                 0.9134,                0.57416,                      1,                  0.995,                0.89253,                0.63532,                0.90092,                0.86958,             0.00064333,             0.00064333,             0.00064333
                     25,                 0.6446,                0.75687,                0.91584,                0.94948,                0.84771,                  0.995,                0.90215,                0.54531,                0.80234,                 0.8408,             0.00063508,             0.00063508,             0.00063508
                     26,                0.64595,                0.71888,                0.90824,                0.75287,                      1,                  0.995,                0.89664,                0.45908,                0.75166,                0.82417,             0.00062683,             0.00062683,             0.00062683
                     27,                0.65327,                0.72217,                0.91624,                0.92912,                0.83892,                0.91198,                0.81896,                0.50465,                0.84357,                0.83613,             0.00061859,             0.00061859,             0.00061859
                     28,                0.63243,                0.69388,                0.91086,                0.89463,                  0.875,                  0.995,                0.90493,                0.48994,                0.74184,                0.82701,             0.00061034,             0.00061034,             0.00061034
                     29,                0.66174,                0.70623,                0.92133,                0.90799,                0.86938,                0.91198,                0.85101,                0.42248,                 0.7286,                0.82226,             0.00060209,             0.00060209,             0.00060209
                     30,                0.64116,                0.67306,                0.90937,                0.77055,                      1,                  0.995,                0.91774,                0.47137,                0.65124,                0.83566,             0.00059385,             0.00059385,             0.00059385
                     31,                0.64349,                0.66947,                0.91138,                0.94213,                0.86649,                  0.995,                0.93961,                0.47307,                0.65103,                0.82538,              0.0005856,              0.0005856,              0.0005856
                     32,                0.64321,                0.64693,                0.91107,                0.94226,                0.86481,                  0.995,                0.91197,                0.49122,                0.61756,                0.83242,             0.00057735,             0.00057735,             0.00057735
                     33,                0.61357,                0.64746,                0.90804,                 0.9549,                0.86511,                  0.995,                0.89965,                0.48289,                0.63543,                0.83283,             0.00056911,             0.00056911,             0.00056911
                     34,                 0.5969,                0.59684,                 0.8971,                 0.9465,                0.85923,                  0.995,                0.91836,                0.50495,                0.63208,                0.83273,             0.00056086,             0.00056086,             0.00056086
                     35,                0.57324,                0.59534,                 0.8895,                0.84516,                      1,                  0.995,                0.90254,                 0.5351,                0.56024,                0.83953,             0.00055261,             0.00055261,             0.00055261
                     36,                0.62605,                0.61523,                0.90466,                0.87718,                0.96476,                  0.995,                0.92808,                0.46183,                0.62575,                 0.8292,             0.00054437,             0.00054437,             0.00054437
                     37,                0.57567,                0.58062,                0.89576,                0.93153,                0.99957,                  0.995,                0.91903,                0.51937,                 0.5572,                   0.84,             0.00053612,             0.00053612,             0.00053612
                     38,                 0.5908,                0.56492,                0.90864,                0.91793,                0.84401,                  0.995,                0.90582,                 0.4771,                0.62113,                0.83061,             0.00052787,             0.00052787,             0.00052787
                     39,                0.56758,                0.55963,                0.89063,                0.92876,                0.82508,                  0.995,                0.92761,                0.47571,                0.74064,                0.82358,             0.00051963,             0.00051963,             0.00051963
                     40,                0.59979,                0.57262,                0.90774,                0.91413,                0.84617,                0.97417,                0.89717,                0.53488,                 0.6691,                0.83881,             0.00051138,             0.00051138,             0.00051138
                     41,                 0.6038,                0.57985,                0.90562,                0.92013,                 0.8493,                0.95354,                0.87634,                0.52373,                0.63051,                0.83971,             0.00050313,             0.00050313,             0.00050313
                     42,                0.54779,                0.54691,                0.88432,                  0.914,                0.82777,                0.93281,                0.86592,                0.46719,                0.59554,                0.82993,             0.00049489,             0.00049489,             0.00049489
                     43,                0.54875,                0.53958,                 0.9033,                0.91783,                0.87119,                  0.995,                0.92854,                0.46349,                0.53723,                0.82212,             0.00048664,             0.00048664,             0.00048664
                     44,                0.55904,                0.51003,                0.88172,                0.92607,                0.85824,                  0.995,                0.95025,                0.46268,                0.55429,                0.82478,             0.00047839,             0.00047839,             0.00047839
                     45,                0.57772,                0.54796,                0.89894,                0.96487,                  0.875,                  0.995,                0.92782,                0.47634,                0.55382,                 0.8318,             0.00047015,             0.00047015,             0.00047015
                     46,                0.54643,                0.52056,                0.90072,                0.96569,                 0.8276,                  0.995,                0.91536,                0.44694,                0.56822,                0.81712,              0.0004619,              0.0004619,              0.0004619
                     47,                0.55006,                0.51355,                0.88324,                0.92091,                0.85113,                  0.995,                0.92168,                0.48046,                 0.6087,                 0.8316,             0.00045365,             0.00045365,             0.00045365
                     48,                0.54983,                0.50114,                0.88437,                0.93056,                0.86503,                  0.995,                0.87274,                0.59934,                0.58113,                0.86921,             0.00044541,             0.00044541,             0.00044541
                     49,                0.55368,                0.50646,                0.88391,                0.92575,                0.86008,                  0.995,                0.91305,                 0.4293,                0.52544,                0.82001,             0.00043716,             0.00043716,             0.00043716
                     50,                0.53117,                0.49067,                0.88236,                0.89192,                  0.875,                  0.995,                0.93474,                0.43374,                0.52775,                0.81282,             0.00042891,             0.00042891,             0.00042891
                     51,                0.56062,                0.47959,                0.89495,                0.90002,                 0.8353,                0.91198,                0.84739,                0.51625,                0.65521,                0.83297,             0.00042066,             0.00042066,             0.00042066
                     52,                 0.5732,                0.50425,                0.90056,                0.93089,                0.87442,                0.91198,                0.85596,                0.38684,                0.62101,                0.81348,             0.00041242,             0.00041242,             0.00041242
                     53,                0.55517,                0.49155,                0.88388,                 0.7976,                      1,                  0.995,                0.94031,                0.43391,                 0.4761,                0.81897,             0.00040417,             0.00040417,             0.00040417
                     54,                0.54981,                 0.5097,                0.88362,                0.92193,                 0.8645,                  0.995,                0.93415,                0.42713,                0.53267,                 0.8289,             0.00039592,             0.00039592,             0.00039592
                     55,                0.52397,                0.48293,                0.88246,                0.72811,                      1,                  0.995,                0.92154,                0.43477,                0.50407,                0.82505,             0.00038768,             0.00038768,             0.00038768
                     56,                0.52073,                0.48466,                0.88381,                0.95832,                      1,                  0.995,                0.94125,                 0.4334,                0.41548,                0.81753,             0.00037943,             0.00037943,             0.00037943
                     57,                0.51745,                0.47732,                0.87567,                0.94755,                  0.875,                  0.995,                0.92839,                0.46323,                0.51336,                0.82614,             0.00037118,             0.00037118,             0.00037118
                     58,                0.52642,                0.47357,                0.88047,                0.92698,                0.86727,                  0.995,                0.94076,                0.42948,                0.65773,                0.82965,             0.00036294,             0.00036294,             0.00036294
                     59,                0.51902,                0.46732,                0.87717,                0.91854,                0.87165,                0.95354,                0.88465,                0.43407,                0.63888,                0.82354,             0.00035469,             0.00035469,             0.00035469
                     60,                0.51428,                0.45339,                0.89085,                0.92949,                0.86952,                0.95354,                 0.8938,                0.44675,                0.55365,                0.82212,             0.00034644,             0.00034644,             0.00034644
                     61,                0.51711,                0.45889,                0.87695,                0.96166,                 0.8539,                  0.995,                0.94108,                0.41361,                 0.4536,                0.81801,              0.0003382,              0.0003382,              0.0003382
